OBJECTID,ID,Name,District,Class,CreatedBy,CreatedDate,EditBy,EditDate,GlobalID,Shape__Area,Shape__Length
33,COFR,Cofer,Broad Rock,1,richmondvagis,1572900161564,richmondvagis,1572900161564,df42193c-d037-4751-9b67-48cf86d56849,4923142.9609375,10364.6564477594
34,COLP,Colonial Place,Far West,1,richmondvagis,1572900161564,richmondvagis,1572900161564,96ed1c74-b015-497a-b0bd-e02efe401469,10309973.4101563,15377.2165942058
35,CRIA,Commerce Road Industrial Area,Broad Rock,2,richmondvagis,1572900161564,richmondvagis,1572900161564,07abe1b5-fdb3-4ad0-b1ea-f71089a412df,75513725.1679688,52277.717611208
36,CTLF,Cottrell Farms,Broad Rock,1,richmondvagis,1572900161564,richmondvagis,1572900161564,933f6b86-cd18-457f-8807-393e32c5e5cb,18539748.6640625,18962.8111440402
37,CCOV,Country Club of Virginia,Far West,3,richmondvagis,1572900161564,richmondvagis,1572900161564,e00454f6-cc4b-4378-86cd-44378053170d,8135293.22265625,16926.6032117446
38,CRGT,Creighton,East,1,richmondvagis,1572900161564,richmondvagis,1572900161564,5c8de19f-bc66-4dc9-a654-6b866f2cf54c,3844199.3671875,12242.9113204107
39,CLWD,Cullenwood,Broad Rock,1,richmondvagis,1572900161564,richmondvagis,1572900161564,49320b8a-b6bb-4962-aea1-67350ae91ba1,4438869.5078125,9206.43344959818
40,DVGD,Davee Gardens,Broad Rock,1,richmondvagis,1572900161564,richmondvagis,1572900161564,e1fd267d-d70f-4299-8f8d-e4a7b7b2c78b,3950930.734375,8490.20192716904
41,DRBN,Deerbourne,Broad Rock,1,richmondvagis,1572900161564,richmondvagis,1572900161564,50fd9f24-5536-4617-bc0b-f225f7689e18,8289832.40625,13915.9713152221
42,EVW,Eastview,East,1,richmondvagis,1572900161564,richmondvagis,1572900161564,b01f0cf8-0dae-41f9-adc7-472e1099e14d,2294722.2265625,8620.43122792249
43,EGWD,Edgewood,North,1,richmondvagis,1572900161564,richmondvagis,1572900161564,fc71ce39-2da4-4895-991f-e18b4552178d,4302328.29296875,10348.5442704159
44,ELKH,Elkhardt,Midlothian,1,richmondvagis,1572900161564,richmondvagis,1572900161564,a8e3ece9-fd62-4988-826d-ca77e17bbc51,6522418.34375,12273.0353183488
